,Building_Age,DwellingTypeDescr,TotalFloorArea,Building_Volume,NoStoreys,ThermalBridgingFactor,GroundFloorArea,FirstFloorArea,SecondFloorArea,ThirdFloorArea,GroundFloorHeight,FirstFloorHeight,SecondFloorHeight,ThirdFloorHeight,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,HSMainSystemEfficiency,MainSpaceHeatingFuel,MainWaterHeatingFuel,WHMainSystemEff,HSEffAdjFactor,HeatExchangerEff,PermeabilityTestResult,NoOfChimneys,NoOfFansAndVents,DraftLobby,VentilationMethod,BerRating,CO2Rating,LowEnergyLightingPercent,DeliveredLightingEnergy,DeliveredEnergyPumpsFans,Energy_Consumption_kWhm2
MainSpaceHeatingFuel,0.14217207136303742,0.045456355103986296,-0.020759869115006272,-0.027207069090284173,0.15644031772457823,0.12364238734838345,-0.071533166110374,0.05852696312251773,-0.014987503477641469,-0.005092220692905354,-0.004168553179302378,0.16336821505142365,-0.001935216236903097,0.0028776403732923366,0.09647982735376452,0.06632759214446816,0.22389799693266726,0.15256895751021193,0.1633468790313282,-0.5084275780559546,1.0,0.9565526812560714,-0.5434281472566853,-0.16051275295650694,-0.06328798482897986,-0.12618860169407226,0.16602718045050074,0.023651766060112624,-0.1530319924143968,-0.06041640278254365,0.06900230144439483,0.09892881136497758,0.06012610200538559,0.07189972938097108,0.11646625995298099,-0.010146633180974885
MainWaterHeatingFuel,0.12708603135737154,0.044173159651768455,-0.020498065854567326,-0.027056648047622495,0.14757595572644444,0.12091402311196713,-0.06726319617576783,0.05413881340746208,-0.01633514673272086,-0.005544314268971161,-0.0051523921573177036,0.15537391893781427,-0.004285782515835965,0.0019247039725225465,0.08067471551618563,0.04805232964202094,0.21772487636322319,0.14386409761162858,0.16049856802986825,-0.48821267055750817,0.9565526812560714,1.0,-0.5448368204662014,-0.1452494257114237,-0.061982278572138776,-0.12275673016292753,0.15631966807153383,0.02252203161748447,-0.15113328818583052,-0.05795749771549528,0.060795915780842605,0.0914393170777315,0.06253601618064011,0.07021773814587519,0.10885716885456405,-0.00990791129462109
WHMainSystemEff,-0.2704529619786623,0.01940248605494542,0.1100224370358005,0.12548054445913698,0.04317533670407026,-0.4370165060062078,0.045883135649243505,0.11116915082115873,0.07259439714045939,-0.0032715995842477253,0.06592734996341142,0.05294754427353451,0.06494909668083158,-0.010992225571810076,-0.2294357634095627,-0.14321896287942343,-0.3278249554441058,-0.4370605839867486,-0.26220705168527303,0.8900960321238582,-0.5434281472566853,-0.5448368204662014,1.0,0.20684785616197446,0.24355096688631955,0.3859585404507822,-0.21881823679688941,-0.004247326923645354,-0.013499857055820992,0.15293851005656942,-0.40566461726906955,-0.38647756209324574,-0.005212084132505638,-0.15631121431538375,-0.02470558204098334,-0.0002171359149950507
HSEffAdjFactor,-0.1630359770423066,0.09326012395331,-0.07184091085769752,-0.059008897906487,-0.02253291931418833,-0.2524082772343084,-0.10061965386074596,-0.014799312824417103,0.05409062994941188,-0.0028682470678601645,-0.0034581971234974814,-0.017158068357882802,0.055204938157046045,-0.00870715174848856,-0.1365420843026705,-0.09927632707039966,-0.24201511768476544,-0.2352871180840771,-0.1637657246709133,0.20056731511185563,-0.16051275295650694,-0.1452494257114237,0.20684785616197446,1.0,0.08548592709747162,0.19237345123251529,-0.19750132795540454,0.018673134842653344,0.07497475735603137,0.10710665604822232,-0.13915702562053747,-0.11439895960004719,0.0607426252282679,-0.15319445372253088,-0.17001621914965956,0.0037083279068060855
HeatExchangerEff,-0.18973290759370218,-0.015904017312903713,0.1268330124783888,0.1416492188616442,0.011119910887654605,-0.3361288254427845,0.09340942458406123,0.07342308149687378,0.08898644632350015,0.014644949111460387,0.06703242402897955,0.004778166908830577,0.07069948966102142,0.0011225043570253738,-0.160977577966083,-0.10044978400817779,-0.23847672682326587,-0.30011476255492764,-0.19043667071300513,0.22195083459959983,-0.06328798482897986,-0.061982278572138776,0.24355096688631955,0.08548592709747162,1.0,0.23646962890638523,-0.15050668094897332,-0.13322647766563392,0.07016928852620068,-0.46882197651220975,-0.25277179651398013,-0.22821083514118967,0.12380183923379326,-0.05435819460766807,0.20241392496982283,-0.002640173680335769
PermeabilityTestResult,-0.2344830098214246,0.048903783925355014,0.07434883745420322,0.08545182395560812,0.10887183979514285,-0.5611465345173531,-0.017630043852422856,0.11962498253953972,0.1011992599341895,-0.001028888837651072,0.043138680219347414,0.11561454975781206,0.10454915016149362,-0.010123418963381845,-0.22394295945499587,-0.10099457422086025,-0.2604544154649409,-0.3891053001072531,-0.21370136094034584,0.40374273403241356,-0.12618860169407226,-0.12275673016292753,0.3859585404507822,0.19237345123251529,0.23646962890638523,1.0,-0.1933721079379126,0.026216782927171844,-0.03573213089244358,0.12337097397362955,-0.3254251830858555,-0.29453797574615515,0.15822672905932628,-0.1136366700640529,0.006946331124292925,-0.003739570975134954
NoOfChimneys,0.3070532677300489,-0.09800932356726745,0.1832029782639212,0.18192409869202544,0.13417391423863484,0.23790934919971085,0.1400922417796849,0.14544024775231246,-0.016692195276551546,0.01020310640510561,0.0594029319819612,0.14033254530734565,-0.022013926229820575,0.026521431693843123,0.2662158408722752,0.244500865654708,0.35116538438389155,0.3244934669679777,0.21606670233165012,-0.2026358615784928,0.16602718045050074,0.15631966807153383,-0.21881823679688941,-0.19750132795540454,-0.15050668094897332,-0.1933721079379126,1.0,-0.044874922703587526,-0.17641382250305357,-0.056849957653917024,0.32829456781128835,0.3471599060861689,-0.0737481204104493,0.28801521532360086,0.05155226568720038,-0.008628758391371798
NoOfFansAndVents,-0.2402307994214523,0.042250481824504305,0.15436444513930636,0.15011789968877431,0.13643738815469175,-0.010502173907200877,0.06058885104691951,0.16948669897438026,0.06063400253013455,0.021249313371413822,-0.009204180614126752,0.12297413541917653,0.06038684107142947,0.023546807887771127,-0.19219071636119747,-0.14560134816457782,-0.18910788432595238,-0.1209345374120613,0.03663333860148478,-0.014220545375691474,0.023651766060112624,0.02252203161748447,-0.004247326923645354,0.018673134842653344,-0.13322647766563392,0.026216782927171844,-0.044874922703587526,1.0,-0.018183254557719526,-0.022562334166846203,-0.19796697576054179,-0.2076694438861587,0.05609164913506577,0.15443680579423877,-0.1127494775206941,-0.0020269024624447215
DraftLobby,-0.037665755653795104,0.047325849383671695,-0.14841601748201855,-0.1431500475671023,-0.353203300200581,0.026379796959487126,0.011570985270434146,-0.26627214036574093,-0.03163730131367343,0.03646342808709396,-0.05945578257322477,-0.3638364152039834,-0.04887299135517167,0.013183355284491565,0.026180031599030717,-0.07995419154497857,-0.24458137508103658,-0.00664609148341846,-0.29792808435356577,-0.060584508925420444,-0.1530319924143968,-0.15113328818583052,-0.013499857055820992,0.07497475735603137,0.07016928852620068,-0.03573213089244358,-0.17641382250305357,-0.018183254557719526,1.0,-0.06068948641721491,0.016946165160426185,-0.01663996529550836,-0.005084063080748732,-0.09281775882806242,-0.14830140383317467,0.01533516927214658
VentilationMethod,-0.06767031093912351,0.05511668704030912,-0.06107279338869186,-0.059660006990663934,0.04238235542940039,-0.21048541250374342,-0.09030962403311268,0.011659936107018919,-0.007817448629802258,-0.015626399429988756,-0.004426101196170984,0.061902937769434584,0.0032477682119444106,-0.013391182123822284,-0.05043939032489922,-0.026918478619265253,-0.05952469468739794,-0.09078938251490969,-0.06329150347766774,0.17446808356431892,-0.06041640278254365,-0.05795749771549528,0.15293851005656942,0.10710665604822232,-0.46882197651220975,0.12337097397362955,-0.056849957653917024,-0.022562334166846203,-0.06068948641721491,1.0,-0.0792690835193402,-0.07235710350085545,-0.042620224407002937,-0.08137885370735667,-0.14895022898147678,0.0009157520677038073
BerRating,0.6164004068953075,-0.06489797959494445,-0.2651070952076666,-0.2597408084909689,-0.19310510967287262,0.41739852256784005,-0.13277233734412422,-0.25918447323805704,-0.10532341261834599,-0.007435070439938076,-0.014025866146070211,-0.18013411394145176,-0.09924627839484113,0.005589119958095904,0.6769242137823397,0.5840404960178586,0.5790555842799523,0.6285661287256942,0.2074459634665665,-0.3930995342302141,0.06900230144439483,0.060795915780842605,-0.40566461726906955,-0.13915702562053747,-0.25277179651398013,-0.3254251830858555,0.32829456781128835,-0.19796697576054179,0.016946165160426185,-0.0792690835193402,1.0,0.9608329552929276,-0.16040478169376152,0.01536119735383738,-0.08640714749897914,0.009290176305918052
CO2Rating,0.5697307875491293,-0.10718394371219583,-0.20876670069185416,-0.20675560463899623,-0.1898963252774026,0.37658785141682216,-0.07382530581369573,-0.23609196563928675,-0.10268739644428188,-0.007621648037790345,-0.0059331811353016345,-0.17982220201606142,-0.10056614613951975,0.005574487068903224,0.5982311501017111,0.5320893010078649,0.561267128175136,0.5790708586482307,0.21895167873667165,-0.3635070146995471,0.09892881136497758,0.0914393170777315,-0.38647756209324574,-0.11439895960004719,-0.22821083514118967,-0.29453797574615515,0.3471599060861689,-0.2076694438861587,-0.01663996529550836,-0.07235710350085545,0.9608329552929276,1.0,-0.13927944556483507,0.04437972506600016,-0.058262709693463664,0.006820489318328508
LowEnergyLightingPercent,-0.08553837352137704,0.025915621622238386,0.009772590520369152,0.01192075684162318,0.027546929719949067,-0.20396339359542276,-0.023243296000554785,0.031306224691447546,0.0374694569071514,0.021279571995112854,-0.015261486588731011,0.03358599530254731,0.035636642032069336,0.023252742964707324,-0.15385549708033894,-0.1367903263595726,-0.09021010983115202,-0.15000841462480996,-0.04639024061198841,0.0014423978351244436,0.06012610200538559,0.06253601618064011,-0.005212084132505638,0.0607426252282679,0.12380183923379326,0.15822672905932628,-0.0737481204104493,0.05609164913506577,-0.005084063080748732,-0.042620224407002937,-0.16040478169376152,-0.13927944556483507,1.0,-0.08251623517053695,-0.1778849526555693,-0.001762027415828003
DeliveredLightingEnergy,0.03224031081563437,-0.2732799012834279,0.6495203186698625,0.6322086763974153,0.23687100679900036,0.1399311474692831,0.5396785073516123,0.3965123572021089,0.1309866696716657,0.08900828408485445,0.07782575658929022,0.14744402526104944,0.08794402147610131,0.08326616267054637,0.012860330472389898,0.08401369907451466,0.114937331508068,0.12110728930726089,0.19881735670238426,-0.15407045012054696,0.07189972938097108,0.07021773814587519,-0.15631121431538375,-0.15319445372253088,-0.05435819460766807,-0.1136366700640529,0.28801521532360086,0.15443680579423877,-0.09281775882806242,-0.08137885370735667,0.01536119735383738,0.04437972506600016,-0.08251623517053695,1.0,-0.04605152810404917,-0.00591644665492139
DeliveredEnergyPumpsFans,0.05773562030014169,-0.14119622372171886,0.26375791814007365,0.26159678856533297,0.12426882902300233,0.031069704068456758,0.2131512065404784,0.17482812576246032,0.04950185858740591,0.0002374303415794989,0.0614875063011809,0.11057091520868755,0.02080233495805325,-0.01323897550830585,0.025455149970893657,0.05799232130238485,0.13288297631754692,-0.03287767827701659,0.092538447995561,-0.00645794475512453,0.11646625995298099,0.10885716885456405,-0.02470558204098334,-0.17001621914965956,0.20241392496982283,0.006946331124292925,0.05155226568720038,-0.1127494775206941,-0.14830140383317467,-0.14895022898147678,-0.08640714749897914,-0.058262709693463664,-0.1778849526555693,-0.04605152810404917,1.0,-0.00676257168078756
Energy_Consumption_kWhm2,0.001385136649012891,0.01440534665331017,-0.027221407898145374,-0.02572828206928898,-0.017175878587192155,0.004326753183417852,-0.024147941994950937,-0.015819965605505883,-0.003100520913579034,-0.0011445221860642613,-0.0929627380927763,-0.01840513791925272,-0.003394652994761411,-0.001484062656265865,0.0015544225816354295,0.004227449999698839,-0.012578991576861272,0.003024369479138919,-0.008037201955353682,-0.0015506577786980448,-0.010146633180974885,-0.00990791129462109,-0.0002171359149950507,0.0037083279068060855,-0.002640173680335769,-0.003739570975134954,-0.008628758391371798,-0.0020269024624447215,0.01533516927214658,0.0009157520677038073,0.009290176305918052,0.006820489318328508,-0.001762027415828003,-0.00591644665492139,-0.00676257168078756,1.0
